fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48251,Johnson,32.38,-97.37,NCENT,G,183527,212395,245803,284467,55.0,124.8,140.1,157.27,176.55,41.5,385.4,543.7,766.9,1081.8,180.7,0
48253,Jones,32.73,-99.88,NCENT,F,19958,23097,26730,30935,55.0,35.92,40.33,45.27,50.82,41.5,41.9,59.1,83.4,117.6,180.7,0
48255,Karnes,28.89,-97.86,SOUTH,N,15387,17131,19072,21234,38.0,13.85,14.96,16.15,17.44,25.9,27.7,37.2,50.0,67.2,142.6,0
48257,Kaufman,32.6,-96.28,NCENT,C,138494,163654,193384,228515,65.0,62.32,71.43,81.88,93.85,50.6,290.8,410.3,578.7,816.3,180.7,3097.83
48259,Kendall,29.94,-98.71,SCENT,L,46987,54956,64277,75179,60.0,32.89,37.32,42.33,48.03,46.0,94.0,139.1,205.9,304.8,224.3,0
48261,Kenedy,26.93,-97.87,SOUTH,N,404,450,501,558,38.1,0.36,0.39,0.42,0.46,27.8,0.7,1.0,1.3,1.8,157.1,15209.35
48263,Kent,33.18,-100.79,WEST,O,762,814,870,930,22.0,1.14,1.18,1.23,1.27,11.4,2.1,3.5,5.7,9.2,338.1,3886.12
48265,Kerr,30.04,-99.35,SCENT,J,52600,61521,71956,84160,60.0,63.12,71.61,81.24,92.17,46.0,105.2,155.7,230.5,341.2,224.3,1908.19
48267,Kimble,30.49,-99.75,SCENT,J,4607,5388,6302,7371,60.0,5.53,6.27,7.12,8.07,45.9,9.2,13.6,20.2,29.9,225.0,0
48269,King,33.62,-100.26,WEST,B,272,291,311,332,22.1,0.3,0.31,0.32,0.33,10.0,0.8,1.2,2.0,3.3,312.5,0
48271,Kinney,29.35,-100.42,SOUTH,L,3675,4092,4555,5071,38.0,2.57,2.78,3.0,3.24,26.1,6.6,8.9,11.9,16.1,143.9,951.62
48273,Kleberg,27.43,-97.88,SOUTH,N,31425,34987,38952,43366,38.0,28.28,30.54,32.98,35.62,26.0,56.6,76.0,102.2,137.3,142.6,0
48275,Knox,33.61,-99.75,NORTH,B,3664,3872,4091,4324,18.0,4.03,4.13,4.23,4.34,7.7,8.1,9.8,12.0,14.6,80.2,1796.66
48277,Lamar,33.67,-95.57,NORTH,D,49859,52687,55676,58834,18.0,30.91,31.69,32.48,33.29,7.7,109.7,133.7,163.0,198.7,81.1,2371.48
48279,Lamb,34.07,-102.35,WEST,O,13262,14171,15142,16180,22.0,19.89,20.62,21.37,22.15,11.4,37.1,60.5,98.5,160.5,332.6,1313.64
48281,Lampasas,31.2,-98.18,SCENT,G,21891,25604,29946,35026,60.0,14.89,16.89,19.16,21.74,46.0,43.8,64.8,95.9,142.0,224.2,618.05
48283,La Salle,28.34,-99.1,SOUTH,L,7418,8259,9195,10237,38.0,5.19,5.61,6.06,6.54,26.0,13.4,17.9,24.1,32.4,141.8,6256.21
48285,Lavaca,29.38,-96.93,COAST,N,20154,22811,25819,29223,45.0,18.14,19.91,21.86,24.0,32.3,48.4,61.9,79.3,101.5,109.7,1628.78
48287,Lee,30.32,-96.97,EAST,K,17239,18009,18813,19652,14.0,8.27,8.38,8.5,8.61,4.1,39.6,47.4,56.6,67.7,71.0,2944.36
48289,Leon,31.3,-95.98,EAST,K,17873,18671,19504,20375,14.0,8.58,8.69,8.81,8.93,4.1,41.1,49.1,58.7,70.2,70.8,3400.35
48291,Liberty,30.15,-94.82,COAST,I,88219,99851,113016,127918,45.0,63.52,69.74,76.56,84.06,32.3,211.7,271.0,346.9,444.1,109.8,2005.4
48293,Limestone,31.55,-96.59,EAST,G,23437,24483,25576,26718,14.0,15.94,16.15,16.36,16.58,4.0,53.9,64.4,77.0,92.1,70.9,3325.76
48295,Lipscomb,36.28,-100.27,WEST,A,3233,3455,3691,3944,22.0,4.53,4.69,4.86,5.04,11.3,9.1,14.7,24.0,39.1,329.7,107.6
48297,Live Oak,28.35,-98.12,SOUTH,N,12388,13792,15355,17095,38.0,11.15,12.04,13.0,14.04,25.9,22.3,30.0,40.3,54.1,142.6,1148.34
48299,Llano,30.75,-98.68,SCENT,J,21795,25492,29815,34872,60.0,26.15,29.67,33.66,38.19,46.0,43.6,64.5,95.5,141.4,224.3,0
48301,Loving,31.85,-103.53,FWEST,F,64,66,67,69,7.8,0.12,0.12,0.11,0.11,-8.3,0.1,0.1,0.2,0.2,100.0,0
48303,Lubbock,33.57,-101.89,WEST,O,321372,343396,366928,392074,22.0,482.06,499.64,517.86,536.75,11.3,899.8,1465.7,2387.5,3889.1,332.2,1065.5
48305,Lynn,33.18,-101.82,WEST,O,5765,6160,6582,7033,22.0,8.65,8.96,9.29,9.63,11.3,16.1,26.3,42.8,69.8,333.5,3383.76
48307,McCulloch,31.2,-99.35,NCENT,F,7984,9240,10693,12375,55.0,14.37,16.13,18.11,20.33,41.5,16.8,23.7,33.4,47.1,180.4,1002.37
48309,McLennan,31.55,-97.15,EAST,G,256623,268080,280048,292550,14.0,174.5,176.83,179.18,181.56,4.0,590.2,705.5,843.3,1008.0,70.8,40.63
48311,McMullen,28.35,-99.35,SOUTH,L,707,787,876,976,38.0,0.49,0.53,0.58,0.62,26.5,1.3,1.7,2.3,3.1,138.5,43.64
48313,Madison,30.96,-95.92,EAST,K,14128,14759,15418,16106,14.0,6.78,6.87,6.96,7.06,4.1,32.5,38.8,46.4,55.5,70.8,7548.05
48315,Marion,32.8,-94.36,EAST,D,10083,10533,11003,11495,14.0,6.25,6.33,6.42,6.5,4.0,23.2,27.7,33.1,39.6,70.7,5812.53
48317,Martin,32.3,-101.95,WEST,F,5771,6166,6589,7041,22.0,10.39,10.77,11.16,11.57,11.4,16.2,26.3,42.9,69.8,330.9,1746.67
48319,Mason,30.75,-99.23,SCENT,J,4274,4999,5847,6838,60.0,5.13,5.82,6.6,7.49,46.0,8.5,12.7,18.7,27.7,225.9,1803.13
48321,Matagorda,28.8,-96.01,COAST,H,36643,41474,46943,53132,45.0,20.15,22.13,24.29,26.67,32.4,87.9,112.6,144.1,184.5,109.9,2588.37
48323,Maverick,28.74,-100.31,SOUTH,L,58722,65377,72787,81036,38.0,41.11,44.39,47.94,51.77,25.9,105.7,142.1,190.9,256.6,142.8,959.19
48325,Medina,29.35,-99.11,SCENT,L,51584,60333,70566,82534,60.0,36.11,40.97,46.48,52.73,46.0,103.2,152.7,226.1,334.6,224.2,1409.06
48327,Menard,30.92,-99.78,NCENT,F,2138,2474,2863,3314,55.0,3.85,4.32,4.85,5.44,41.3,4.5,6.3,8.9,12.6,180.0,877.0
48329,Midland,32.0,-102.11,WEST,F,169831,181469,193906,207194,22.0,305.7,316.84,328.4,340.38,11.3,475.5,774.6,1261.7,2055.2,332.2,3407.5
48331,Milam,30.79,-96.97,EAST,K,24664,25765,26915,28117,14.0,11.84,12.0,12.16,12.32,4.1,56.7,67.8,81.0,96.9,70.9,1309.04
48333,Mills,31.49,-98.59,NCENT,G,4873,5639,6527,7553,55.0,3.31,3.72,4.18,4.69,41.7,10.2,14.4,20.4,28.7,181.4,4480.02
48335,Mitchell,32.3,-100.92,WEST,F,9134,9760,10429,11143,22.0,16.44,17.04,17.66,18.31,11.4,25.6,41.7,67.9,110.5,331.6,0
48337,Montague,33.67,-97.72,NORTH,B,19818,20942,22130,23385,18.0,21.8,22.35,22.9,23.48,7.7,43.6,53.1,64.8,79.0,81.2,206.88
48339,Montgomery,30.3,-95.5,COAST,H,620443,710230,813010,930664,50.0,341.24,378.91,420.73,467.17,36.9,1489.1,1906.1,2440.0,3123.4,109.8,791.62
48341,Moore,35.84,-101.89,WEST,A,20940,22375,23908,25547,22.0,29.32,30.39,31.49,32.64,11.3,58.6,95.5,155.6,253.4,332.4,1020.2
48343,Morris,33.1,-94.73,EAST,D,12388,12941,13519,14122,14.0,7.68,7.78,7.89,7.99,4.0,28.5,34.1,40.7,48.7,70.9,251.3
48345,Motley,34.08,-100.79,WEST,B,1200,1282,1370,1464,22.0,1.32,1.37,1.42,1.47,11.4,3.4,5.5,8.9,14.5,326.5,226.3
48347,Nacogdoches,31.61,-94.65,EAST,D,65558,68485,71542,74736,14.0,40.65,41.19,41.73,42.29,4.0,150.8,180.2,215.4,257.5,70.8,981.02
48349,Navarro,32.04,-96.48,EAST,G,50114,52351,54688,57130,14.0,34.08,34.53,34.99,35.46,4.0,115.3,137.8,164.7,196.8,70.7,400.0
48351,Newton,30.78,-93.74,EAST,I,13595,14202,14836,15498,14.0,9.79,9.92,10.05,10.18,4.0,31.3,37.4,44.7,53.4,70.6,0
48353,Nolan,32.3,-100.41,WEST,F,14688,15695,16770,17919,22.0,26.44,27.4,28.4,29.44,11.3,41.1,67.0,109.1,177.7,332.4,372.1
48355,Nueces,27.72,-97.4,SOUTH,N,343223,382123,425431,473648,38.0,308.9,333.59,360.26,389.06,26.0,617.8,830.3,1115.8,1499.6,142.7,1300.39
48357,Ochiltree,36.28,-100.82,WEST,A,9836,10510,11230,12000,22.0,13.77,14.27,14.79,15.33,11.3,27.5,44.9,73.1,119.0,332.7,1286.68
48359,Oldham,35.4,-102.6,WEST,A,2072,2214,2366,2528,22.0,2.9,3.01,3.12,3.23,11.4,5.8,9.5,15.4,25.1,332.8,813.95
48361,Orange,30.1,-93.89,EAST,I,83396,87119,91008,95071,14.0,60.05,60.84,61.65,62.47,4.0,191.8,229.3,274.0,327.6,70.8,6474.82
48363,Palo Pinto,32.75,-98.31,NORTH,G,29189,30845,32594,34443,18.0,19.85,20.35,20.85,21.38,7.7,64.2,78.3,95.4,116.3,81.2,330.21
48365,Panola,31.98,-94.31,EAST,D,23440,24486,25580,26722,14.0,14.53,14.73,14.92,15.12,4.1,53.9,64.4,77.0,92.1,70.9,2108.0
48367,Parker,32.78,-97.8,NCENT,C,147195,171440,199678,232568,58.0,66.24,74.83,84.54,95.52,44.2,309.1,436.0,615.1,867.6,180.7,2270.35
48369,Parmer,34.53,-102.78,WEST,O,9605,10263,10967,11718,22.0,14.41,14.93,15.48,16.04,11.3,26.9,43.8,71.4,116.2,332.0,585.23
48371,Pecos,30.79,-102.72,FWEST,F,15823,16234,16656,17089,8.0,28.48,28.34,28.21,28.07,-1.4,30.1,34.9,40.5,47.0,56.1,906.41
48373,Polk,30.79,-94.83,EAST,I,50198,52439,54780,57226,14.0,36.14,36.62,37.11,37.6,4.0,115.5,138.0,165.0,197.2,70.7,852.0
48375,Potter,35.4,-101.89,WEST,B,117415,125461,134059,143246,22.0,129.16,133.87,138.75,143.81,11.3,328.8,535.5,872.3,1420.9,332.1,0
48377,Presidio,29.85,-104.35,FWEST,F,6131,6290,6454,6621,8.0,11.04,10.98,10.93,10.88,-1.4,11.6,13.5,15.7,18.2,56.9,2316.13
48379,Rains,32.87,-95.79,EAST,D,12514,13073,13656,14266,14.0,7.76,7.86,7.97,8.07,4.0,28.8,34.4,41.1,49.2,70.8,125.32
48381,Randall,34.97,-101.89,WEST,B,138164,147632,157750,168560,22.0,151.98,157.52,163.27,169.22,11.3,386.9,630.2,1026.5,1672.0,332.2,301.94
48383,Reagan,31.37,-101.53,WEST,F,3765,4023,4299,4593,22.0,6.78,7.02,7.28,7.55,11.4,10.5,17.2,28.0,45.6,334.3,0
48385,Real,29.83,-99.82,SOUTH,J,3389,3773,4201,4677,38.0,4.07,4.39,4.74,5.12,25.8,6.1,8.2,11.0,14.8,142.6,0
48387,Red River,33.63,-95.05,NORTH,D,12023,12705,13426,14187,18.0,7.45,7.64,7.83,8.03,7.8,26.5,32.2,39.3,47.9,80.8,798.79
48389,Reeves,31.32,-103.7,FWEST,F,15976,16391,16817,17254,8.0,28.76,28.62,28.48,28.35,-1.4,30.4,35.2,40.9,47.4,55.9,4518.15
48391,Refugio,28.32,-97.16,SOUTH,N,7236,8056,8969,9986,38.0,6.51,7.03,7.6,8.2,26.0,13.0,17.5,23.5,31.6,143.1,822.01
48393,Roberts,35.84,-100.82,WEST,A,854,913,975,1042,22.0,1.2,1.24,1.28,1.33,10.8,2.4,3.9,6.3,10.3,329.2,505.93
48395,Robertson,31.03,-96.51,EAST,K,16952,17709,18499,19325,14.0,8.14,8.25,8.35,8.47,4.1,39.0,46.6,55.7,66.6,70.8,0
48397,Rockwall,32.92,-96.42,NCENT,C,107624,126400,148452,174351,62.0,48.43,55.17,62.86,71.61,47.9,226.0,318.8,449.7,634.4,180.7,282.0
48399,Runnels,31.83,-99.97,NCENT,F,10264,11878,13747,15909,55.0,18.48,20.74,23.28,26.14,41.5,21.6,30.4,42.9,60.5,180.1,2836.26
48401,Rusk,32.11,-94.78,EAST,D,54406,56835,59372,62023,14.0,33.73,34.18,34.64,35.1,4.1,125.1,149.6,178.8,213.7,70.8,0
48403,Sabine,31.34,-93.85,EAST,I,10542,11013,11504,12018,14.0,7.59,7.69,7.79,7.9,4.1,24.2,29.0,34.6,41.4,71.1,0
48405,San Augustine,31.39,-94.17,EAST,I,8327,8699,9087,9493,14.0,6.0,6.08,6.16,6.24,4.0,19.2,22.9,27.4,32.7,70.3,0
48407,San Jacinto,30.58,-95.17,EAST,I,29850,31183,32575,34029,14.0,21.49,21.78,22.07,22.36,4.0,68.7,82.1,98.1,117.2,70.6,1180.54
48409,San Patricio,27.99,-97.52,SOUTH,N,67046,74645,83105,92523,38.0,60.34,65.17,70.37,76.0,26.0,120.7,162.2,218.0,292.9,142.7,200.96
48411,San Saba,31.22,-98.72,NCENT,J,6131,7095,8211,9503,55.0,7.36,8.26,9.27,10.41,41.4,12.9,18.2,25.6,36.1,179.8,1968.13
48413,Schleicher,30.89,-100.53,WEST,F,3461,3698,3952,4222,22.0,6.23,6.46,6.69,6.94,11.4,9.7,15.8,25.7,41.9,332.0,2417.19
48415,Scurry,32.74,-100.92,WEST,F,17239,18420,19683,21032,22.0,31.03,32.16,33.34,34.55,11.3,48.3,78.6,128.1,208.6,331.9,166.0
48417,Shackelford,32.74,-99.35,NCENT,F,3311,3832,4435,5132,55.0,5.96,6.69,7.51,8.43,41.4,7.0,9.8,13.8,19.5,178.6,1371.69
48419,Shelby,31.79,-94.15,EAST,D,25274,26402,27581,28812,14.0,15.67,15.88,16.09,16.3,4.0,58.1,69.5,83.1,99.3,70.9,2373.98
48421,Sherman,36.28,-101.89,WEST,A,3034,3242,3464,3701,22.0,4.25,4.4,4.56,4.73,11.3,8.5,13.8,22.5,36.7,331.8,6746.14
48423,Smith,32.37,-95.27,EAST,D,233479,243902,254791,266166,14.0,144.76,146.68,148.63,150.61,4.0,537.0,641.9,767.2,917.1,70.8,0
48425,Somervell,32.22,-97.78,NORTH,G,9128,9646,10193,10771,18.0,6.21,6.36,6.52,6.68,7.6,20.1,24.5,29.8,36.4,81.1,186.53
48427,Starr,26.56,-98.73,SOUTH,M,65920,73391,81709,90970,38.0,56.03,60.51,65.35,70.57,26.0,118.7,159.5,214.3,288.0,142.6,0
48429,Stephens,32.74,-98.84,NCENT,F,9366,10839,12544,14517,55.0,16.86,18.92,21.24,23.85,41.5,19.7,27.7,39.1,55.2,180.2,2161.93
48431,Sterling,31.83,-101.04,WEST,F,1291,1379,1474,1575,22.0,2.32,2.41,2.5,2.59,11.6,3.6,5.9,9.6,15.6,333.3,1316.79
48433,Stonewall,33.18,-100.26,WEST,B,1350,1443,1541,1647,22.0,1.49,1.54,1.59,1.65,10.7,3.8,6.2,10.0,16.3,328.9,2319.77
48435,Sutton,30.49,-100.53,WEST,F,3776,4035,4311,4607,22.0,6.8,7.05,7.3,7.57,11.3,10.6,17.2,28.1,45.7,331.1,1788.79
48437,Swisher,34.53,-101.73,WEST,O,7334,7837,8374,8947,22.0,11.0,11.4,11.82,12.25,11.4,20.5,33.4,54.5,88.8,333.2,1609.21
48439,Tarrant,32.77,-97.29,NCENT,C,2110640,2303537,2514064,2743832,30.0,949.79,1005.49,1064.47,1126.9,18.6,4432.3,6252.3,8819.4,12440.7,180.7,1800.0
48441,Taylor,32.3,-99.89,NCENT,F,141284,163507,189226,218990,55.0,254.31,285.48,320.48,359.76,41.5,296.7,418.5,590.4,832.8,180.7,1200.0
48443,Terrell,30.22,-102.07,FWEST,F,776,796,817,838,8.0,1.4,1.39,1.38,1.38,-1.4,1.5,1.7,2.0,2.3,53.3,0
48445,Terry,33.17,-102.34,WEST,O,12337,13182,14086,15051,22.0,18.51,19.18,19.88,20.6,11.3,34.5,56.3,91.7,149.3,332.8,365.03
48447,Throckmorton,33.18,-99.21,NORTH,B,1501,1586,1676,1771,18.0,1.65,1.69,1.73,1.78,7.9,3.3,4.0,4.9,6.0,81.8,2222.2
48449,Titus,33.22,-94.97,EAST,D,32750,34212,35739,37335,14.0,20.3,20.58,20.85,21.13,4.1,75.3,90.0,107.6,128.6,70.8,0
48451,Tom Green,31.41,-100.44,WEST,F,119679,127881,136644,146008,22.0,215.42,223.28,231.42,239.86,11.3,335.1,545.8,889.1,1448.3,332.2,5319.26
48453,Travis,30.33,-97.77,SCENT,K,1290188,1545833,1852132,2219123,72.0,619.29,719.74,836.48,972.16,57.0,2580.4,3819.6,5653.9,8369.2,224.3,1300.0
48455,Trinity,31.09,-95.14,EAST,I,14651,15305,15988,16702,14.0,10.55,10.69,10.83,10.98,4.1,33.7,40.3,48.1,57.5,70.6,2120.74
48457,Tyler,30.78,-94.38,EAST,I,21672,22640,23650,24706,14.0,15.6,15.81,16.02,16.23,4.0,49.8,59.6,71.2,85.1,70.9,1618.2
48459,Upshur,32.74,-94.94,EAST,D,41753,43617,45564,47598,14.0,25.89,26.23,26.58,26.93,4.0,96.0,114.8,137.2,164.0,70.8,0
48461,Upton,31.37,-102.03,WEST,F,3657,3908,4175,4462,22.0,6.58,6.82,7.07,7.33,11.4,10.2,16.7,27.2,44.3,334.3,0
48463,Uvalde,29.35,-99.78,SOUTH,L,27763,30910,34413,38313,38.0,19.43,20.99,22.67,24.48,26.0,50.0,67.2,90.3,121.3,142.6,0
48465,Val Verde,29.89,-101.15,SOUTH,J,49025,54581,60767,67654,38.0,58.83,63.53,68.61,74.1,26.0,88.2,118.6,159.4,214.2,142.9,0
48467,Van Zandt,32.56,-95.84,EAST,D,56590,59116,61756,64513,14.0,35.09,35.55,36.03,36.51,4.0,130.2,155.6,186.0,222.3,70.7,564.7
48469,Victoria,28.8,-96.98,COAST,N,92084,104225,117968,133522,45.0,82.88,90.99,99.9,109.68,32.3,221.0,282.9,362.1,463.6,109.8,0
48471,Walker,30.79,-95.57,EAST,K,72971,76229,79632,83187,14.0,35.03,35.49,35.96,36.44,4.0,167.8,200.6,239.8,286.6,70.8,0
48473,Waller,30.0,-95.99,COAST,H,55246,62530,70775,80107,45.0,30.39,33.36,36.63,40.21,32.3,132.6,169.7,217.3,278.1,109.7,7263.26
48475,Ward,31.51,-103.1,FWEST,F,11998,12310,12630,12958,8.0,21.6,21.49,21.39,21.29,-1.4,22.8,26.5,30.7,35.6,56.1,2193.76
48477,Washington,30.21,-96.4,EAST,K,35882,37484,39157,40905,14.0,17.22,17.45,17.68,17.92,4.1,82.5,98.6,117.9,140.9,70.8,602.58
48479,Webb,27.76,-99.47,SOUTH,L,276652,308007,342915,381780,38.0,193.66,209.14,225.85,243.91,25.9,498.0,669.2,899.4,1208.7,142.7,5000.0
48481,Wharton,29.31,-96.1,COAST,H,41556,47035,53237,60256,45.0,22.86,25.09,27.55,30.25,32.3,99.7,127.7,163.4,209.2,109.8,1964.44
48483,Wheeler,35.4,-100.27,WEST,B,5056,5402,5773,6168,22.0,5.56,5.76,5.97,6.19,11.3,14.2,23.1,37.6,61.2,331.0,2048.79
48485,Wichita,33.9,-98.72,NORTH,B,132230,139730,147656,156031,18.0,145.45,149.09,152.82,156.65,7.7,290.9,354.6,432.3,526.9,81.1,2303.61
48487,Wilbarger,34.08,-99.22,NORTH,B,12769,13493,14259,15067,18.0,14.05,14.4,14.76,15.13,7.7,28.1,34.2,41.7,50.9,81.1,0
48489,Willacy,26.48,-97.64,SOUTH,M,21284,23696,26382,29372,38.0,18.09,19.54,21.1,22.79,26.0,38.3,51.5,69.2,93.0,142.8,0
48491,Williamson,30.65,-97.6,SCENT,K,609709,738917,895508,1085282,78.0,292.66,344.04,404.44,475.44,62.5,1219.4,1805.0,2671.9,3955.1,224.3,85.0
48493,Wilson,29.17,-98.08,SCENT,L,51584,60333,70566,82534,60.0,36.11,40.97,46.48,52.73,46.0,103.2,152.7,226.1,334.6,224.2,3249.84
48495,Winkler,31.85,-103.05,FWEST,F,8010,8218,8432,8651,8.0,14.42,14.35,14.28,14.21,-1.5,15.2,17.7,20.5,23.8,56.6,0
48497,Wise,33.22,-97.66,NORTH,C,69984,73954,78148,82581,18.0,31.49,32.28,33.09,33.92,7.7,154.0,187.7,228.8,278.9,81.1,0
48499,Wood,32.78,-95.38,EAST,D,46007,48061,50207,52448,14.0,28.52,28.9,29.29,29.68,4.1,105.8,126.5,151.2,180.7,70.8,0
48501,Yoakum,33.17,-102.83,WEST,O,8713,9310,9948,10630,22.0,13.07,13.55,14.04,14.55,11.3,24.4,39.7,64.7,105.4,332.0,0
48503,Young,33.18,-98.69,NORTH,B,18550,19602,20714,21889,18.0,20.41,20.92,21.44,21.98,7.7,40.8,49.7,60.6,73.9,81.1,0
48505,Zapata,26.91,-99.17,SOUTH,M,14369,15998,17811,19829,38.0,12.21,13.19,14.24,15.38,26.0,25.9,34.8,46.7,62.8,142.5,0
48507,Zavala,28.87,-99.76,SOUTH,L,12131,13506,15037,16741,38.0,8.49,9.17,9.9,10.7,26.0,21.8,29.3,39.4,53.0,143.1,0
